requested_prompt_tokens,max_new_tokens,actual_prompt_tokens,measured_runs,successes,failures,mean_latency_seconds,median_latency_seconds,min_latency_seconds,max_latency_seconds,latency_stddev_seconds,mean_tokens_per_second,median_tokens_per_second,max_peak_allocated_bytes,max_peak_reserved_bytes
512,32,512,3,3,0,2.4010139666497707,2.4054066999815404,2.378717500017956,2.418917699949816,0.020456932766996352,12.49532746284585,12.471903400048825,8312902144,8355053568
512,64,512,3,3,0,2.41899876667109,2.4353085999609903,2.367077800037805,2.454609900014475,0.04598885873817364,12.4048411028267,12.318767321924026,8312902144,8355053568
512,128,512,3,3,0,2.42805226665223,2.443767899996601,2.3735476000001654,2.466841299959924,0.04859181475934393,12.358911479567903,12.27612491351643,8312902144,8355053568
512,256,512,3,3,0,2.446694033317423,2.4397570000146516,2.437131999991834,2.4631930999457836,0.01434876496376107,12.26172346555006,12.29630655832521,8312902144,8355053568
512,512,512,3,3,0,2.447837700000188,2.449027800001204,2.4428966999985278,2.4515886000008322,0.004466490224082979,12.255741724041874,12.249758863490749,8312902144,8355053568
1024,32,1024,3,3,0,2.7404209333471954,2.739050100033637,2.7305380000034347,2.7516747000045143,0.0106348206244431,11.677155381120366,11.682882324644964,8692650496,8791261184
1024,64,1024,3,3,0,3.1088897666777484,3.0767020999919623,3.0662296999944374,3.1837375000468455,0.06503118623626383,11.583036195520025,11.700840325130615,8692650496,8791261184
1024,128,1024,3,3,0,3.011582733345373,3.013057900010608,2.9794648000388406,3.042225499986671,0.03140634413622607,11.954714673693942,11.947994759700189,8692650496,8791261184
1024,256,1024,3,3,0,3.0036154333308027,3.009787700022571,2.9907764999661595,3.0102821000036784,0.011121590052310192,11.98566545926572,11.960976516626083,8692650496,8791261184
1024,512,1024,3,3,0,2.9933455333230086,2.987067600013688,2.9860166999860667,3.006952299969271,0.011795514895136626,12.026801263208243,12.051953561357308,8692650496,8791261184
2048,32,2048,3,3,0,3.0215006666452005,3.024159399967175,3.0061733999755234,3.0341691999929026,0.014186009016326844,10.590919677079514,10.581452816391668,9837367808,9999220736
2048,64,2048,3,3,0,3.0334063999859304,3.034902499988675,3.0267932999995537,3.038523399969563,0.006006458835308996,10.549224034889617,10.543996059220818,9837367808,9999220736
2048,128,2048,3,3,0,3.0505353666376323,3.062800099956803,3.0218430999666452,3.0669628999894485,0.02493525317832611,10.490431402292614,10.447955777607334,9837367808,9999220736
2048,256,2048,3,3,0,3.0276094666720987,3.0241135000251234,3.01285800000187,3.045856899989303,0.016774927337926897,10.56961084157839,10.581613421498286,9837367808,9999220736
2048,512,2048,3,3,0,3.033380199999859,3.0299376999610104,3.026176300016232,3.0440266000223346,0.009409910066789822,10.5493551362719,10.56127325667844,9837367808,9999220736
